"quation","option1","option2","option3","option4","answer"
What is the primary ingredient in concrete?,Cement,Water,Sand,Aggregate,2
Which type of cement is commonly used in concrete construction?,Portland cement,Quick-setting cement,Refractory cement,Slag cement,1
What is the purpose of adding water to a concrete mix?,To increase the strength,To improve workability,To reduce shrinkage,To decrease durability,3
Which type of aggregate is typically used in high-strength concrete?,Gravel,Sand,Lightweight aggregate,Crushed stone,4
What is the recommended water-cement ratio for normal concrete mixes?,0.3,0.5,0.7,1,2
Which chemical process is responsible for the setting and hardening of concrete?,Oxidation,Hydration,Combustion,Sublimation,3
What is the purpose of adding admixtures to concrete mixes?,To increase the cost of production,To decrease workability,To improve certain properties of concrete,To reduce the strength of concrete,4
What is the initial setting time of concrete?,30 minutes,1 hour,4 hours,24 hours,2
What is the primary function of reinforcement in reinforced concrete?,To increase workability,To reduce cost,To improve durability,To resist tensile forces,4
What is the primary ingredient in concrete?,Cement,Water,Sand,Aggregate,2
Which type of cement is commonly used in concrete construction?,Portland cement,Quick-setting cement,Refractory cement,Slag cement,1
What is the purpose of adding water to a concrete mix?,To increase the strength,To improve workability,To reduce shrinkage,To decrease durability,3
Which type of aggregate is typically used in high-strength concrete?,Gravel,Sand,Lightweight aggregate,Crushed stone,4
What is the recommended water-cement ratio for normal concrete mixes?,0.3,0.5,0.7,1,2
Which chemical process is responsible for the setting and hardening of concrete?,Oxidation,Hydration,Combustion,Sublimation,3
What is the purpose of adding admixtures to concrete mixes?,To increase the cost of production,To decrease workability,To improve certain properties of concrete,To reduce the strength of concrete,4
What is the initial setting time of concrete?,30 minutes,1 hour,4 hours,24 hours,2
What is the primary function of reinforcement in reinforced concrete?,To increase workability,To reduce cost,To improve durability,To resist tensile forces,4
